NEW RUN
50000 500000 100
100 3888.32 -1044.37 0.323922
200 4332.6 -1551.98 0.361054
300 4448.67 -1663.56 0.370715
400 4461.39 -1677.55 0.37176
500 4489.5 -1704.3 0.374095
600 4479.01 -1694.3 0.373218
700 4499.72 -1715.34 0.374957
800 4515.8 -1730.88 0.376282
900 4484.91 -1699.83 0.373724
1000 4468.22 -1683.73 0.372331
1100 4486.58 -1702.23 0.373851
1200 4507.45 -1722.45 0.375603
1300 4543.11 -1759.03 0.378563
1400 4546.99 -1762.13 0.378899
1500 4562.85 -1778.2 0.380216
1600 4523.86 -1738.92 0.376967
1700 4519.51 -1734.9 0.376596
1800 4509.03 -1723.93 0.375741
1900 4502.31 -1718.11 0.375174
2000 4533.53 -1748.85 0.377769
2100 4526.92 -1742.01 0.377222
2200 4515.84 -1731.01 0.376295
2300 4530 -1745.19 0.377484
2400 4535.16 -1750.35 0.377907
2500 4527.45 -1742.98 0.377256
2600 4531.61 -1746.73 0.377602
2700 4534.41 -1749.74 0.377846
2800 4563.67 -1779.1 0.38028
2900 4586.25 -1801.83 0.382166
3000 4591.64 -1807.01 0.382614
3100 3618.03 -1831.28 0.301454
3200 3648.86 -1862.69 0.304013
3300 3690.9 -1904.25 0.307537
3400 3676.6 -1889.38 0.30634
3500 3649.37 -1862.51 0.304068
3600 3645.38 -1858.5 0.303742
3700 3657.9 -1871.25 0.304785
3800 3638.8 -1851.33 0.303187
3900 3652.05 -1865.97 0.304301
4000 3677.71 -1890.74 0.306431
4100 3652.33 -1865.19 0.304309
4200 3662.99 -1876.32 0.305208
4300 3671.69 -1884.86 0.305927
4400 3680 -1893.39 0.306627
4500 3693.94 -1907.24 0.307794
4600 3685.9 -1898.92 0.307114
4700 3667.88 -1881.03 0.305611
4800 3665.69 -1878.66 0.305433
4900 3658.7 -1871.98 0.304853
5000 3671.64 -1884.77 0.305915
5100 3670.89 -1883.97 0.30586
5200 3659.5 -1872.67 0.304909
5300 3675.62 -1889.47 0.306256
5400 3705.04 -1917.93 0.308708
5500 3697.07 -1910.12 0.30805
5600 3704.31 -1917.43 0.308644
5700 3705.67 -1918.96 0.308758
5800 3698.33 -1911.29 0.308162
5900 3689.86 -1902.78 0.307439
6000 3684.28 -1897.64 0.306972
6100 3607.86 -1908.59 0.300607
6200 3608.97 -1909.56 0.300707
6300 3593.45 -1894.11 0.299397
6400 3588.35 -1889.01 0.298979
6500 3592.74 -1893.61 0.299347
6600 3623.06 -1923.68 0.301869
6700 3611.38 -1912.01 0.300898
6800 3626.17 -1927 0.302133
6900 3645.74 -1946.32 0.303763
7000 3633.51 -1934.12 0.302757
7100 3634.01 -1934.76 0.302776
7200 3628.94 -1929.5 0.302372
7300 3619.16 -1919.54 0.301555
7400 3635.49 -1936.54 0.302917
7500 3629.58 -1930.37 0.302418
7600 3629.24 -1929.84 0.302382
7700 3635.48 -1936.17 0.302901
7800 3653.58 -1954.14 0.304424
7900 3659.63 -1960.19 0.304932
8000 3636.21 -1936.79 0.30297
8100 3619.46 -1920.13 0.301577
8200 3644.64 -1945.52 0.303676
8300 3643.92 -1944.54 0.303618
8400 3623.2 -1923.81 0.301893
8500 3610.43 -1911.01 0.30083
8600 3588.63 -1888.99 0.299004
8700 3585.35 -1886.05 0.298738
8800 3606.37 -1907.34 0.300487
8900 3627.16 -1927.95 0.302218
9000 3603.96 -1903.87 0.300282
9100 3602.52 -1891.35 0.300156
9200 3618.75 -1907.22 0.301522
9300 3634.59 -1922.74 0.302831
9400 3657.01 -1945.52 0.304709
9500 3670.44 -1958.99 0.305821
9600 3663.53 -1951.55 0.305252
9700 3654.29 -1942.93 0.304464
9800 3646.35 -1934.3 0.303831
9900 3659.77 -1948.15 0.304928
10000 3616.84 -1904.83 0.301351
10100 3607.06 -1895.47 0.300539
10200 3623.63 -1912.2 0.301919
10300 3656.33 -1944.67 0.304652
10400 3647.65 -1936.07 0.303926
10500 3652.67 -1941.2 0.304337
10600 3645.46 -1933.38 0.30374
10700 3634.89 -1923.09 0.302853
10800 3644.63 -1933.24 0.30367
10900 3657 -1945.2 0.304705
11000 3627.19 -1915.34 0.302222
11100 3602.57 -1890.85 0.300158
11200 3610.47 -1899.08 0.300823
11300 3629.36 -1918.15 0.302397
11400 3638.06 -1926.1 0.303126
11500 3626.75 -1914.9 0.302189
11600 3627.52 -1916.17 0.302246
11700 3612.36 -1899.88 0.300988
11800 3587.2 -1875.55 0.298884
11900 3577.49 -1865.72 0.298085
12000 3588.97 -1877.58 0.299034
12100 3538.95 -1824.18 0.294871
12200 3531.02 -1817.3 0.294194
12300 3554.02 -1841.09 0.296113
12400 3591.78 -1878.14 0.299271
12500 3604.25 -1890.44 0.30031
12600 3613.93 -1900.14 0.301109
12700 3589.63 -1875.67 0.299087
12800 3605.01 -1891.96 0.30038
12900 3624.45 -1910.7 0.302001
13000 3625.24 -1910.59 0.302058
