NEW RUN
50000 500000 100
100 3732.47 -1047.3 0.310931
200 3668.31 -1573.7 0.305681
300 3603.1 -1732.41 0.300228
400 3596.95 -1769.62 0.299698
500 3589.58 -1792.35 0.299086
600 3595.3 -1799.28 0.29956
700 3602.24 -1821.14 0.300133
800 3605.45 -1853.1 0.300415
900 3606.32 -1871.02 0.30048
1000 3595.52 -1878.65 0.299575
1100 3594.82 -1894.66 0.299523
1200 3591.74 -1896.31 0.299268
1300 3603.75 -1917.12 0.300264
1400 3596.71 -1939.37 0.299678
1500 3598.04 -1939.61 0.299792
1600 3593.19 -1921.72 0.299386
1700 3599.9 -1923.76 0.299944
1800 3597.26 -1894.81 0.299729
1900 3601.88 -1897.93 0.300114
2000 3596.03 -1915.37 0.299625
2100 3600.93 -1896.12 0.30003
2200 3594.72 -1876.77 0.299517
2300 3605.15 -1862.17 0.300383
2400 3600.16 -1848.79 0.299967
2500 3609.12 -1852.51 0.300715
2600 3604.67 -1870.78 0.300339
2700 3586.25 -1872.89 0.298809
2800 3605.18 -1907.85 0.300381
2900 3607.59 -1913.48 0.3006
3000 3591.15 -1915.33 0.299228
3100 3598.34 -1891.25 0.299809
3200 3607.99 -1898.01 0.30062
3300 3599.44 -1885.8 0.299909
3400 3596.35 -1879.17 0.299639
3500 3598.47 -1904.76 0.299833
3600 3605.17 -1893.29 0.300392
3700 3603.57 -1906.27 0.300258
3800 3600.8 -1898.25 0.300026
3900 3597.04 -1898.4 0.299705
4000 3606.22 -1913.22 0.300464
4100 3595.01 -1905.38 0.299532
4200 3602.83 -1918.66 0.300183
4300 3608.33 -1946.73 0.300645
4400 3607.7 -1965.75 0.300594
4500 3602.25 -1975.46 0.300134
4600 3604.1 -1972.12 0.300295
4700 3602.7 -1982.69 0.300182
4800 3594.12 -1978.42 0.299469
4900 3602.66 -1956.16 0.300169
5000 3597.65 -1934.22 0.299754
5100 3606.98 -1930.88 0.300539
5200 3604.5 -1923.12 0.300336
5300 3606.74 -1910.91 0.300521
5400 3592.17 -1882.07 0.299308
5500 3604.94 -1886.31 0.300357
5600 3603.8 -1900.72 0.300261
5700 3603.4 -1909.78 0.300239
5800 3600.65 -1915.48 0.300017
5900 3606.9 -1916.69 0.300517
6000 3600.55 -1890.34 0.300003
6100 3597.09 -1889.9 0.299707
6200 3601.46 -1861.23 0.30007
6300 3608.71 -1881.67 0.30067
6400 3614.73 -1928.02 0.301183
6500 3593.89 -1914.36 0.299438
6600 3595.1 -1882.61 0.299535
